ID,header,manufacturer,nationality,times_best,avg_rating_when_best,years_covered
1046,Caesar Arab Camel Riders and Bedouin (H023),Caesar,Arab,2325,46.0,-2024–300
174,HYTTY Historic Figures (1003),HYTTY,Hungarian,2011,37.0,-70–1960
174,HYTTY Historic Figures (1003),HYTTY,Hun,1850,37.0,-70–1960
174,HYTTY Historic Figures (1003),HYTTY,USA,1701,37.0,-70–1934
174,HYTTY Historic Figures (1003),HYTTY,Egyptian,1582,37.0,-70–1960
174,HYTTY Historic Figures (1003),HYTTY,Romanian,1578,37.0,151–1960
904,Caesar Biblical Era Libyan Warriors (H022),Caesar,Libyan,1525,46.0,-2024–-500
1181,Caesar Nubian Warriors (H049),Caesar,Nubian,1525,44.0,-2024–-500
1181,Caesar Nubian Warriors (H049),Caesar,Sudanese,1525,44.0,-2024–-500
1421,Coates & Shine Indian Chariot (8143),Coates & Shine,Indian,1359,43.0,-1399–0
1106,Caesar Maya Warriors (H027),Caesar,Belize,1301,43.0,250–1550
1106,Caesar Maya Warriors (H027),Caesar,Guatamalan,1301,43.0,250–1550
1106,Caesar Maya Warriors (H027),Caesar,Mayan,1301,43.0,250–1550
2954,Hegemony Phrygians (HB012),Hegemony,Phrygian,1201,25.0,-1100–100
1106,Caesar Maya Warriors (H027),Caesar,Mexican,1175,43.0,250–1550
2954,Hegemony Phrygians (HB012),Hegemony,Turkish,1102,25.0,-1100–100
2237,RedBox Byzantine Cataphracts Set 2 (72154),RedBox,Greek,801,44.0,600–1400
174,HYTTY Historic Figures (1003),HYTTY,French,755,37.0,201–1960
3080,Ultima Ratio The Thracians (UR026),Ultima Ratio,Bulgarian,681,44.0,-650–30
3080,Ultima Ratio The Thracians (UR026),Ultima Ratio,Thracian,681,44.0,-650–30
174,HYTTY Historic Figures (1003),HYTTY,Italian,667,37.0,600–1908
2749,Linear-A Indus Culture (Set 1) (042),Linear-A,Harappan,625,44.0,-2024–-1400
2749,Linear-A Indus Culture (Set 1) (042),Linear-A,Indian,625,44.0,-2024–-1400
2749,Linear-A Indus Culture (Set 1) (042),Linear-A,Pakistani,625,44.0,-2024–-1400
1030,RedBox Picts (72001),RedBox,Pictish,601,34.0,250–850
1300,Orion Scythian Cavalry (72024),Orion,Polish,599,43.0,-699–-101
1300,Orion Scythian Cavalry (72024),Orion,Ukrainian,599,43.0,-699–-101
1098,Caesar Ancient Egyptian Warriors (H047),Caesar,Egyptian,551,49.0,-1550–-1000
1030,RedBox Picts (72001),RedBox,British,551,34.0,250–800
1134,HaT Parthian Light Cavalry (8144),HaT,Parthian,475,46.0,-249–225
1134,HaT Parthian Light Cavalry (8144),HaT,Persian,475,46.0,-249–225
1133,HaT Parthian Heavy Cavalry (8145),HaT,Iraqi,474,43.0,-250–223
1890,Orion Cumans (Polovets) and Pechenegs (72034),Orion,Pecheneg,451,43.0,800–1250
114,HaT Saxons (6006),HaT,Saxon,451,24.0,150–600
564,HaT Nubian Infantry (8079),HaT,Egyptian,450,30.0,-949–-500
73,Atlantic Greek Army (1509),Atlantic,Greek,449,27.0,-1099–-651
3080,Ultima Ratio The Thracians (UR026),Ultima Ratio,Greek,437,44.0,-650–30
909,Caesar Hittite Warriors (H008),Caesar,Anatolian,431,46.0,-1630–-1200
909,Caesar Hittite Warriors (H008),Caesar,Hittite,431,46.0,-1630–-1200
909,Caesar Hittite Warriors (H008),Caesar,Turkish,431,46.0,-1630–-1200
1471,HaT Sassanid Levy Infantry (8205),HaT,Iraqi,428,44.0,224–651
1471,HaT Sassanid Levy Infantry (8205),HaT,Sassanian,428,44.0,224–651
2520,Caesar Chinese Han Dynasty Troopers (H043),Caesar,Chinese,427,48.0,-206–220
1471,HaT Sassanid Levy Infantry (8205),HaT,Persian,426,44.0,226–651
3060,Ultima Ratio Japanese Warrior Monks (UR024),Ultima Ratio,Japanese,421,42.0,980–1400
1114,Caesar Philistine Warriors (H046),Caesar,Sea People,420,47.0,-1169–-750
1317,Emhar Viking Oarsmen (7218),Emhar,Danish,401,50.0,700–1100
1317,Emhar Viking Oarsmen (7218),Emhar,Norwegian,401,50.0,700–1100
1317,Emhar Viking Oarsmen (7218),Emhar,Swedish,401,50.0,700–1100
1317,Emhar Viking Oarsmen (7218),Emhar,Viking,401,50.0,700–1100
1325,HaT Gallic Command (8138),HaT,Gaul,401,47.0,-300–100
1201,Strelets Muslim Archers (M014),Strelets,Arab,401,44.0,1000–1400
1201,Strelets Muslim Archers (M014),Strelets,Turkish,401,44.0,1000–1400
1639,Orion Khazar Army (72030),Orion,Georgian,401,42.0,600–1000
1639,Orion Khazar Army (72030),Orion,Khazar,401,42.0,600–1000
585,HaT Numidian Cavalry (8024),HaT,Numidian,401,39.0,-300–100
2237,RedBox Byzantine Cataphracts Set 2 (72154),RedBox,Turkish,400,44.0,600–999
100,Esci Barbarian Warriors (225),Esci,German,399,43.0,-200–300
1014,Linear-A The Etruscans Cavalry: Set 2 (022),Linear-A,Italian,399,43.0,-899–-501
474,Atlantic At The Pharaoh's Court (1501),Atlantic,Egyptian,399,41.0,-1949–-1551
1528,Orion Byzantine Infantry (12th - 15th Century) (72027),Orion,Albanian,354,37.0,1100–1453
1528,Orion Byzantine Infantry (12th - 15th Century) (72027),Orion,Bulgarian,354,37.0,1100–1453
1258,Pegasus Gladiators (7100),Pegasus,Italian,351,50.0,-100–250
1371,Caesar Mycenaean Chariot (H021),Caesar,Greek,351,49.0,-1450–-1100
1371,Caesar Mycenaean Chariot (H021),Caesar,Mycenaean,351,49.0,-1450–-1100
1222,Strelets Batavian Cavalry in Roman Service (097),Strelets,Dutch,351,41.0,-50–300
546,HaT Imperial Roman Auxiliaries (8074),HaT,Syrian,351,35.0,-100–250
115,HaT Franks (6007),HaT,Belgian,351,29.0,150–500
546,HaT Imperial Roman Auxiliaries (8074),HaT,Spanish,350,35.0,-99–250
1049,Caesar Mitannian Mariyannu Chariot (H015),Caesar,Mitannian,321,48.0,-1680–-1360
1049,Caesar Mitannian Mariyannu Chariot (H015),Caesar,Syrian,321,48.0,-1680–-1360
175,HYTTY Carthaginian Mercenaries (1004),HYTTY,Algerian,320,19.0,-800–-481
175,HYTTY Carthaginian Mercenaries (1004),HYTTY,Tunisian,320,19.0,-800–-481
1820,Zvezda Scythian Cavalry (8069),Zvezda,Kazak,301,47.0,-600–-300
1820,Zvezda Scythian Cavalry (8069),Zvezda,Russian,301,47.0,-600–-300
1820,Zvezda Scythian Cavalry (8069),Zvezda,Scythian,301,47.0,-600–-300
2041,Linear-A Neo-Assyrian Empire Infantry Set 1 (056),Linear-A,Assyrian,301,47.0,-850–-550
2041,Linear-A Neo-Assyrian Empire Infantry Set 1 (056),Linear-A,Syrian,301,47.0,-850–-550
1189,Strelets Medieval Levy (2) (M006),Strelets,Dutch,301,41.0,1100–1400
1189,Strelets Medieval Levy (2) (M006),Strelets,Scottish,301,41.0,1100–1400
1610,Orion Slavic Warriors (72028),Orion,Albanian,301,36.0,500–800
1610,Orion Slavic Warriors (72028),Orion,Bosnian,301,36.0,500–800
1610,Orion Slavic Warriors (72028),Orion,Polish,301,36.0,500–800
1610,Orion Slavic Warriors (72028),Orion,Serbian,301,36.0,500–800
1610,Orion Slavic Warriors (72028),Orion,Slav,301,36.0,500–800
1041,Evolution Sarmat Cavalry (EVF037),Evolution,Russian,301,30.0,-100–200
1146,Zvezda Carthaginian Numidian Cavalry (8031),Zvezda,Algerian,300,44.0,-199–100
1890,Orion Cumans (Polovets) and Pechenegs (72034),Orion,Russian,300,43.0,800–1099
175,HYTTY Carthaginian Mercenaries (1004),HYTTY,Spanish,300,19.0,-800–-501
1157,Zvezda The Janissaries (8050),Zvezda,Turkish,299,47.0,1501–1799
1300,Orion Scythian Cavalry (72024),Orion,Russian,298,43.0,-699–-101
1300,Orion Scythian Cavalry (72024),Orion,Scythian,298,43.0,-699–-101
1757,Valdemar Cuman Cavalry (VA112),Valdemar,Cuman,291,46.0,1000–1290
1757,Valdemar Cuman Cavalry (VA112),Valdemar,Ukrainian,291,46.0,1000–1290
1095,Caesar Inca Warriors (H026),Caesar,Incan,271,48.0,1300–1570
1095,Caesar Inca Warriors (H026),Caesar,Peruvian,271,48.0,1300–1570
383,Zvezda Persian Infantry (8006),Zvezda,Persian,251,49.0,-550–-300
747,HaT Gothic Cavalry (8085),HaT,Ukrainian,251,43.0,200–450
321,Strelets Vikings Against Franks (004),Strelets,Frankish,251,37.0,700–950
321,Strelets Vikings Against Franks (004),Strelets,German,251,37.0,700–950
2666,Linear-A The Etruscans Set 1 (014),Linear-A,Etruscan,250,43.0,-899–-650
1146,Zvezda Carthaginian Numidian Cavalry (8031),Zvezda,Tunisian,246,44.0,-145–100
397,HaT Hannibal's Carthaginians - African Infantry (8020),HaT,Libyan,234,37.0,-480–-146
1239,Coates & Shine Gothic Army (8133),Coates & Shine,Polish,231,35.0,160–390
597,HaT Dacians (8069),HaT,Dacian,218,40.0,-168–49
597,HaT Dacians (8069),HaT,Romanian,218,40.0,-168–49
1632,Valdemar Welsh Crusader (VI002),Valdemar,Welsh,204,49.0,1097–1300
1339,Emhar Crested Knights (7210),Emhar,British,201,49.0,1200–1400
1394,Caesar Celt Warriors (H064),Caesar,British,201,48.0,-150–50
1394,Caesar Celt Warriors (H064),Caesar,Celtic,201,48.0,-150–50
1394,Caesar Celt Warriors (H064),Caesar,French,201,48.0,-150–50
1601,Zvezda Russian Foot Warriors (8062),Zvezda,Russian,201,48.0,1200–1400
299,Revell Normans (02550),Revell,French,201,47.0,950–1150
299,Revell Normans (02550),Revell,Norman,201,47.0,950–1150
861,Caesar Saladin with Saracen Cavalry (H018),Caesar,Egyptian,201,45.0,1050–1250
861,Caesar Saladin with Saracen Cavalry (H018),Caesar,Iraqi,201,45.0,1050–1250
861,Caesar Saladin with Saracen Cavalry (H018),Caesar,Syrian,201,45.0,1050–1250
519,HaT Spanish Cavalry (8055),HaT,CeltIberian,201,44.0,-300–-100
747,HaT Gothic Cavalry (8085),HaT,Goth,201,43.0,200–400
2171,Linear-A The Folk of Judea (001),Linear-A,Palestinian,201,43.0,-100–100
1556,Strelets Sarmatian Cavalry (020),Strelets,Sarmatian,201,38.0,-100–100
1556,Strelets Sarmatian Cavalry (020),Strelets,Ukrainian,201,38.0,-100–100
631,HaT Carthaginian Allies (8058),HaT,Portuguese,201,35.0,-400–-200
1325,HaT Gallic Command (8138),HaT,Celtic,200,47.0,-300–100
1325,HaT Gallic Command (8138),HaT,French,200,47.0,-300–100
288,Orion Roman Sailors (72006),Orion,Italian,200,44.0,-500–-301
1201,Strelets Muslim Archers (M014),Strelets,Egyptian,200,44.0,1000–1400
1201,Strelets Muslim Archers (M014),Strelets,Syrian,200,44.0,1000–1400
1890,Orion Cumans (Polovets) and Pechenegs (72034),Orion,Cuman,200,43.0,800–999
1890,Orion Cumans (Polovets) and Pechenegs (72034),Orion,Ukrainian,200,43.0,800–999
1639,Orion Khazar Army (72030),Orion,Russian,200,42.0,600–799
1639,Orion Khazar Army (72030),Orion,Ukrainian,200,42.0,600–799
1099,Evolution Roxolan Cavalry (EVF039),Evolution,Sarmatian,200,36.0,101–300
448,Zvezda Samurai Army - Infantry (8017),Zvezda,Japanese,199,48.0,1501–1699
916,Zvezda Republican Roman Cavalry (8038),Zvezda,Italian,199,47.0,-299–-101
845,Emhar Saxon Warriors (7206),Emhar,Saxon,199,45.0,801–999
1623,Linear-A Goths (Set 1) (058),Linear-A,Bulgarian,199,45.0,401–599
1623,Linear-A Goths (Set 1) (058),Linear-A,Goth,199,45.0,401–599
1623,Linear-A Goths (Set 1) (058),Linear-A,Romanian,199,45.0,401–599
1228,MiniArt Germanic Warriors (72013),MiniArt,German,199,42.0,301–499
2655,RedBox Chinese Medium Cavalry (72118),RedBox,Chinese,199,42.0,1501–1699
1189,Strelets Medieval Levy (2) (M006),Strelets,Spanish,199,41.0,1201–1399
1308,RedBox Korean Guerrillas (72013),RedBox,Korean,199,38.0,1501–1699
1308,RedBox Korean Guerrillas (72013),RedBox,North Korean,199,38.0,1501–1699
1308,RedBox Korean Guerrillas (72013),RedBox,South Korean,199,38.0,1501–1699
232,LW Bactrian Cavalry (38),LW,Afghan,191,27.0,-490–-300
232,LW Bactrian Cavalry (38),LW,Tajik,191,27.0,-490–-300
232,LW Bactrian Cavalry (38),LW,Uzbek,191,27.0,-490–-300
2091,HaT Huns (8298),HaT,Hun,181,41.0,300–480
116,HaT Visigoths (6008),HaT,Spanish,181,26.0,370–550
519,HaT Spanish Cavalry (8055),HaT,Spanish,180,44.0,-300–-100
397,HaT Hannibal's Carthaginians - African Infantry (8020),HaT,Algerian,180,37.0,-480–-301
397,HaT Hannibal's Carthaginians - African Infantry (8020),HaT,Carthaginian,180,37.0,-480–-301
397,HaT Hannibal's Carthaginians - African Infantry (8020),HaT,Tunisian,180,37.0,-480–-301
1891,Orion Iberian Infantry (72035),Orion,Portuguese,170,33.0,-500–-130
1802,Strelets Anglo-Saxons Before Battle (M050),Strelets,Anglo-Saxon,167,49.0,900–1066
1802,Strelets Anglo-Saxons Before Battle (M050),Strelets,British,167,49.0,900–1066
2364,Mars Barbarian Pirates (72071),Mars,Algerian,161,37.0,1490–1650
2364,Mars Barbarian Pirates (72071),Mars,Tunisian,161,37.0,1490–1650
